Plugin ID,CVE,CVSS,Risk,Host,Protocol,Port,Name,Synopsis,Description,Solution,See Also,Plugin Output,Asset UUID,Vulnerability State,IP Address,FQDN,NetBios,OS,MAC Address,Plugin Family,CVSS Base Score,CVSS Temporal Score,CVSS Temporal Vector,CVSS Vector,CVSS3 Base Score,CVSS3 Temporal Score,CVSS3 Temporal Vector,CVSS3 Vector,System Type,Host Start,Host End
11219,,0,None,ip-172-31-7-29.ap-southeast-2.compute.internal,TCP,111,Nessus SYN scanner,It is possible to determine which TCP ports are open.,"This plugin is a SYN 'half-open' port scanner.  It shall be reasonably
quick even against a firewalled target. 

Note that SYN scans are less intrusive than TCP (full connect) scans
against broken services, but they might cause problems for less robust
firewalls and also leave unclosed connections on the remote target, if
the network is loaded.",Protect your target with an IP filter.,,Port 111/tcp was found to be open,3ed24eec-d514-48cb-8db2-1f1db0abfb5d,Active,3.105.229.12,ec2-3-105-229-12.ap-southeast-2.compute.amazonaws.com,,Linux Kernel 2.6,,Port scanners,,,,,,,,,general-purpose,2020-03-17T03:13:42.479Z,2020-03-17T03:16:16.066Z
11219,,0,None,ip-172-31-7-29.ap-southeast-2.compute.internal,TCP,22,Nessus SYN scanner,It is possible to determine which TCP ports are open.,"This plugin is a SYN 'half-open' port scanner.  It shall be reasonably
quick even against a firewalled target. 

Note that SYN scans are less intrusive than TCP (full connect) scans
against broken services, but they might cause problems for less robust
firewalls and also leave unclosed connections on the remote target, if
the network is loaded.",Protect your target with an IP filter.,,Port 22/tcp was found to be open,3ed24eec-d514-48cb-8db2-1f1db0abfb5d,Active,3.105.229.12,ec2-3-105-229-12.ap-southeast-2.compute.amazonaws.com,,Linux Kernel 2.6,,Port scanners,,,,,,,,,general-purpose,2020-03-17T03:13:42.479Z,2020-03-17T03:16:16.066Z
11219,,0,None,ip-172-31-7-29.ap-southeast-2.compute.internal,TCP,32771,Nessus SYN scanner,It is possible to determine which TCP ports are open.,"This plugin is a SYN 'half-open' port scanner.  It shall be reasonably
quick even against a firewalled target. 

Note that SYN scans are less intrusive than TCP (full connect) scans
against broken services, but they might cause problems for less robust
firewalls and also leave unclosed connections on the remote target, if
the network is loaded.",Protect your target with an IP filter.,,Port 32771/tcp was found to be open,3ed24eec-d514-48cb-8db2-1f1db0abfb5d,Active,3.105.229.12,ec2-3-105-229-12.ap-southeast-2.compute.amazonaws.com,,Linux Kernel 2.6,,Port scanners,,,,,,,,,general-purpose,2020-03-17T03:13:42.479Z,2020-03-17T03:16:16.066Z
53335,,0,None,ip-172-31-7-29.ap-southeast-2.compute.internal,TCP,111,RPC portmapper (TCP),An ONC RPC portmapper is running on the remote host.,"The RPC portmapper is running on this port. 

The portmapper allows someone to get the port number of each RPC
service running on the remote host by sending either multiple lookup
requests or a DUMP request.",n/a,,,3ed24eec-d514-48cb-8db2-1f1db0abfb5d,Active,3.105.229.12,ec2-3-105-229-12.ap-southeast-2.compute.amazonaws.com,,Linux Kernel 2.6,,RPC,,,,,,,,,general-purpose,2020-03-17T03:13:42.479Z,2020-03-17T03:16:16.066Z
11111,,0,None,ip-172-31-7-29.ap-southeast-2.compute.internal,TCP,111,RPC Services Enumeration,An ONC RPC service is running on the remote host.,"By sending a DUMP request to the portmapper, it was possible to
enumerate the ONC RPC services running on the remote port.  Using this
information, it is possible to connect and bind to each service by
sending an RPC request to the remote port.",n/a,,"
The following RPC services are available on TCP port 111 :

 - program: 100000 (portmapper), version: 4
 - program: 100000 (portmapper), version: 3
 - program: 100000 (portmapper), version: 2
",3ed24eec-d514-48cb-8db2-1f1db0abfb5d,Active,3.105.229.12,ec2-3-105-229-12.ap-southeast-2.compute.amazonaws.com,,Linux Kernel 2.6,,Service detection,,,,,,,,,general-purpose,2020-03-17T03:13:42.479Z,2020-03-17T03:16:16.066Z
11111,,0,None,ip-172-31-7-29.ap-southeast-2.compute.internal,UDP,111,RPC Services Enumeration,An ONC RPC service is running on the remote host.,"By sending a DUMP request to the portmapper, it was possible to
enumerate the ONC RPC services running on the remote port.  Using this
information, it is possible to connect and bind to each service by
sending an RPC request to the remote port.",n/a,,"
The following RPC services are available on UDP port 111 :

 - program: 100000 (portmapper), version: 4
 - program: 100000 (portmapper), version: 3
 - program: 100000 (portmapper), version: 2
",3ed24eec-d514-48cb-8db2-1f1db0abfb5d,Active,3.105.229.12,ec2-3-105-229-12.ap-southeast-2.compute.amazonaws.com,,Linux Kernel 2.6,,Service detection,,,,,,,,,general-purpose,2020-03-17T03:13:42.479Z,2020-03-17T03:16:16.066Z
10287,,0,None,ip-172-31-7-29.ap-southeast-2.compute.internal,UDP,0,Traceroute Information,It was possible to obtain traceroute information.,Makes a traceroute to the remote host.,n/a,,"For your information, here is the traceroute from 172.16.25.130 to 3.105.229.12 : 
172.16.25.130
54.252.0.87
3.105.229.12

Hop Count: 2
",3ed24eec-d514-48cb-8db2-1f1db0abfb5d,Active,3.105.229.12,ec2-3-105-229-12.ap-southeast-2.compute.amazonaws.com,,Linux Kernel 2.6,,General,,,,,,,,,general-purpose,2020-03-17T03:13:42.479Z,2020-03-17T03:16:16.066Z
25220,,0,None,ip-172-31-7-29.ap-southeast-2.compute.internal,TCP,0,TCP/IP Timestamps Supported,The remote service implements TCP timestamps.,"The remote host implements TCP timestamps, as defined by RFC1323.  A
side effect of this feature is that the uptime of the remote host can
sometimes be computed.",n/a,http://www.ietf.org/rfc/rfc1323.txt,,3ed24eec-d514-48cb-8db2-1f1db0abfb5d,Active,3.105.229.12,ec2-3-105-229-12.ap-southeast-2.compute.amazonaws.com,,Linux Kernel 2.6,,General,,,,,,,,,general-purpose,2020-03-17T03:13:42.479Z,2020-03-17T03:16:16.066Z
12053,,0,None,ip-172-31-7-29.ap-southeast-2.compute.internal,TCP,0,Host Fully Qualified Domain Name (FQDN) Resolution,It was possible to resolve the name of the remote host.,"Nessus was able to resolve the fully qualified domain name (FQDN) of
the remote host.",n/a,,"
3.105.229.12 resolves as ec2-3-105-229-12.ap-southeast-2.compute.amazonaws.com.
",3ed24eec-d514-48cb-8db2-1f1db0abfb5d,Active,3.105.229.12,ec2-3-105-229-12.ap-southeast-2.compute.amazonaws.com,,Linux Kernel 2.6,,General,,,,,,,,,general-purpose,2020-03-17T03:13:42.479Z,2020-03-17T03:16:16.066Z
22964,,0,None,ip-172-31-7-29.ap-southeast-2.compute.internal,TCP,22,Service Detection,The remote service could be identified.,"Nessus was able to identify the remote service by its banner or by
looking at the error message it sends when it receives an HTTP
request.",n/a,,An SSH server is running on this port.,3ed24eec-d514-48cb-8db2-1f1db0abfb5d,Active,3.105.229.12,ec2-3-105-229-12.ap-southeast-2.compute.amazonaws.com,,Linux Kernel 2.6,,Service detection,,,,,,,,,general-purpose,2020-03-17T03:13:42.479Z,2020-03-17T03:16:16.066Z
22964,,0,None,ip-172-31-7-29.ap-southeast-2.compute.internal,TCP,32771,Service Detection,The remote service could be identified.,"Nessus was able to identify the remote service by its banner or by
looking at the error message it sends when it receives an HTTP
request.",n/a,,A web server is running on this port.,3ed24eec-d514-48cb-8db2-1f1db0abfb5d,Active,3.105.229.12,ec2-3-105-229-12.ap-southeast-2.compute.amazonaws.com,,Linux Kernel 2.6,,Service detection,,,,,,,,,general-purpose,2020-03-17T03:13:42.479Z,2020-03-17T03:16:16.066Z
10107,,0,None,ip-172-31-7-29.ap-southeast-2.compute.internal,TCP,32771,HTTP Server Type and Version,A web server is running on the remote host.,"This plugin attempts to determine the type and the version of the
  remote web server.",n/a,,"The remote web server type is :

Apache-Coyote/1.1",3ed24eec-d514-48cb-8db2-1f1db0abfb5d,Active,3.105.229.12,ec2-3-105-229-12.ap-southeast-2.compute.amazonaws.com,,Linux Kernel 2.6,,Web Servers,,,,,,,,,general-purpose,2020-03-17T03:13:42.479Z,2020-03-17T03:16:16.066Z
24260,,0,None,ip-172-31-7-29.ap-southeast-2.compute.internal,TCP,32771,HyperText Transfer Protocol (HTTP) Information,Some information about the remote HTTP configuration can be extracted.,"This test gives some information about the remote HTTP protocol - the
version used, whether HTTP Keep-Alive and HTTP pipelining are enabled,
etc... 

This test is informational only and does not denote any security
problem.",n/a,,"
Response Code : HTTP/1.1 302 Found

Protocol version : HTTP/1.1
SSL : no
Keep-Alive : no
Options allowed : (Not implemented)
Headers :

  Server: Apache-Coyote/1.1
  Location: showcase.action
  Content-Type: text/html
  Content-Length: 0
  Date: Tue, 17 Mar 2020 03:15:31 GMT
  Connection: close
  
Response Body :

",3ed24eec-d514-48cb-8db2-1f1db0abfb5d,Active,3.105.229.12,ec2-3-105-229-12.ap-southeast-2.compute.amazonaws.com,,Linux Kernel 2.6,,Web Servers,,,,,,,,,general-purpose,2020-03-17T03:13:42.479Z,2020-03-17T03:16:16.066Z
